,geoid,LowIncomeTracts
5513,06037239330,1
5514,06037239501,1
5515,06037239502,1
5516,06037239601,1
5517,06037239602,1
5518,06037239701,1
5519,06037239702,1
5520,06037239801,1
5521,06037239802,1
5522,06037240010,1
5523,06037240020,1
5524,06037240200,1
5525,06037240300,1
5526,06037240401,1
5527,06037240402,1
5528,06037240500,1
5529,06037240600,1
5530,06037240700,1
5531,06037240800,1
5532,06037240900,1
5533,06037241001,1
5534,06037241002,1
5535,06037241110,1
5536,06037241120,1
5537,06037241201,1
5538,06037241202,1
5539,06037241300,1
5540,06037241400,1
5541,06037242000,1
5542,06037242100,1
5543,06037242200,1
5544,06037242300,1
5545,06037242600,1
5546,06037242700,1
5547,06037243000,1
5548,06037243100,1
5549,06037261101,0
5550,06037261102,0
5551,06037261200,0
5552,06037262100,0
5553,06037262200,0
5554,06037262301,0
5555,06037262302,0
5556,06037262303,0
5557,06037262400,0
5558,06037262501,0
5559,06037262601,0
5560,06037262604,0
5561,06037262704,0
5562,06037262706,0
5563,06037262802,0
5564,06037264000,0
5565,06037264102,0
5566,06037264103,0
5567,06037264301,0
5568,06037264302,0
5569,06037265100,0
5570,06037265201,0
5571,06037265202,1
5572,06037265301,0
5573,06037265303,1
5574,06037265304,1
5575,06037265305,1
5576,06037265410,0
5577,06037265420,0
5578,06037265510,1
5579,06037265520,0
5580,06037265601,0
5581,06037265602,0
5582,06037265700,0
5583,06037267100,0
5584,06037267200,0
5585,06037267300,1
5586,06037267402,0
5587,06037267403,0
5588,06037267404,0
5589,06037267501,1
5590,06037267502,1
5591,06037267600,0
5592,06037267700,0
5593,06037267800,0
5594,06037267901,0
5595,06037267902,0
5596,06037269000,0
5597,06037269100,0
5598,06037269300,0
5599,06037269500,0
5600,06037269601,1
5601,06037269602,0
5602,06037269700,0
5603,06037269800,0
5604,06037269903,1
5605,06037269904,1
5606,06037269905,0
5607,06037269906,0
5608,06037269907,1
5609,06037270100,0
5610,06037270200,1
5611,06037270300,0
5612,06037271100,0
5613,06037271200,1
5614,06037271300,0
5615,06037271400,0
5616,06037271500,0
5617,06037271600,0
5618,06037271701,0
5619,06037271702,1
5620,06037271801,1
5621,06037271802,0
5622,06037271901,0
5623,06037271902,0
5624,06037272100,0
5625,06037272201,1
5626,06037272202,1
5627,06037272301,0
5628,06037272302,1
5629,06037273100,0
5630,06037273200,1
5631,06037273300,1
5632,06037273402,0
5633,06037273502,0
5634,06037273600,0
5635,06037273700,0
5636,06037273800,0
5637,06037273902,0
5638,06037274100,0
5639,06037274202,0
5640,06037275101,0
5641,06037275102,1
5642,06037275200,1
5643,06037275302,0
5644,06037275311,0
5645,06037275400,0
5646,06037275500,1
5647,06037275602,0
5648,06037275603,0
5649,06037276000,0
5650,06037276100,0
5651,06037276400,0
5652,06037276500,0
5653,06037276601,0
5654,06037276603,0
5655,06037276604,0
5656,06037277000,0
